0.8696 <- ,  --- 10:35:44
0.7783 <- ,  --- 10:35:44
1.0784 <- ,  --- 10:35:44
0.8856 <- ,  --- 10:35:44
0.8 <- ,  --- 10:35:44
0.9114 <- ,  --- 10:35:44
0.9301 <- ,  --- 10:35:44
0.8514 <- ,  --- 10:35:44
0.8307 <- ,  --- 10:35:44
1.1381 <- ,  --- 10:35:44
0.8608 <- ,  --- 10:35:44
0.9474 <- ,  --- 10:35:44
0.9777 <- ,  --- 10:35:44
0.9899 <- ,  --- 10:35:44
0.8905 <- ,  --- 10:35:44
0.9189 <- ,  --- 10:35:44
1.0248 <- ,  --- 10:35:44
0.9699 <- ,  --- 10:35:44
0.9898 <- ,  --- 10:35:44
0.9946 <- ,  --- 10:35:44
0.9992 <- ,  --- 10:35:44
1.0132 <- ,  --- 10:35:44
1.3173 <- ,  --- 10:35:44
1.0192 <- ,  --- 10:35:44
1.449 <- ,  --- 10:35:44
1.0305 <- ,  --- 10:35:44
1.1174 <- ,  --- 10:35:44
1.1402 <- ,  --- 10:35:44
1.1783 <- ,  --- 10:35:44
1.1103 <- ,  --- 10:35:45
1.2652 <- ,  --- 10:35:45
1.3114 <- ,  --- 10:35:45
1.3579 <- ,  --- 10:35:45
1.3938 <- ,  --- 10:35:45
1.3025 <- ,  --- 10:35:45
1.4211 <- ,  --- 10:35:45
1.4737 <- ,  --- 10:35:45
1.4221 <- ,  --- 10:35:45
1.5382 <- ,  --- 10:35:45
1.6023 <- ,  --- 10:35:45
1.6609 <- ,  --- 10:35:45
1.7659 <- ,  --- 10:35:45
0.7392 <- ,  --- 10:35:45
1.9902 <- ,  --- 10:35:45
0.7694 <- ,  --- 10:35:45
0.8096 <- ,  --- 10:35:45
0.8288 <- ,  --- 10:35:45
0.8805 <- ,  --- 10:35:45
0.8947 <- ,  --- 10:35:45
0.9129 <- ,  --- 10:35:45
0.928 <- ,  --- 10:35:45
0.9424 <- ,  --- 10:35:45
0.9572 <- ,  --- 10:35:45
0.9708 <- ,  --- 10:35:46
1.0504 <- ,  --- 10:35:46
1.0675 <- ,  --- 10:35:46
